Autauga County, Alabama 36051 36003 36008 36758 36006 36066 36091 36022 36701 36703 36068 36749 36067 Pine Level CDP Autaugaville town Marbury CDP Prattville city Millbrook city Billingsley town
Baldwin County, Alabama 36549 36550 36530 36547 36527 36536 36567 36579 36580 36577 36551 36532 36574 36576 36507 36561 36564 36578 36555 36502 36511 36535 36526 36562 36542 36559 36533 36480 Summerdale town Orange Beach city Foley city Gulf Shores city Perdido Beach town Fairhope city Loxley town Silverhill town Bay Minette city Spanish Fort city Magnolia Springs town Robertsdale city Daphne city Elberta town Point Clear CDP
Barbour County, Alabama 36016 36027 36311 36017 36053 36072 36317 36374 36048 Blue Springs town Clayton town Bakerhill town Eufaula city Louisville town Clio city
Bibb County, Alabama 36750 35034 35188 35074 35111 35456 35035 35115 35184 36792 35042 36793 Woodstock town Brent city Centreville city West Blocton town Vance town
Blount County, Alabama 35180 35172 35957 35980 35126 35097 35952 35063 35133 35976 35013 35121 35049 35146 35016 35031 35079 Blountsville town Garden City town Susan Moore town Altoona town Trafford town Cleveland town Smoke Rise CDP Locust Fork town Nectar town Rosa town County Line town Allgood town Snead town Hayden town Highland Lake town Oneonta city
Bullock County, Alabama 36860 36081 36005 36830 36029 36053 36031 36052 36089 Fitzpatrick CDP Midway town Union Springs city
Butler County, Alabama 36030 36071 36474 36042 36015 36032 36037 36456 36033 Georgiana town Greenville city McKenzie town
Calhoun County, Alabama 36250 36254 35905 36201 36253 36265 36202 36279 36277 36205 36206 36204 36260 36257 36203 36272 36207 35096 36271 Anniston city West End-Cobb Town CDP Oxford city Hobson City town Piedmont city Jacksonville city Ohatchee town Southside city White Plains CDP Glencoe city Choccolocco CDP Nances Creek CDP Alexandria CDP Weaver city Saks CDP
Chambers County, Alabama 36879 36801 36863 36850 36276 36862 36274 36852 36855 36854 Penton CDP Waverly town Lanett city Standing Rock CDP Huguley CDP Fredonia CDP La Fayette city Cusseta town Five Points town Valley city Abanda CDP
Cherokee County, Alabama 36272 35984 35960 36275 35903 35983 35959 35901 35967 35961 35973 Centre city Collinsville town Leesburg town Piedmont city Spring Garden CDP Broomtown CDP Sand Rock town Cedar Bluff town Gaylesville town
Chilton County, Alabama 36790 36750 35040 36051 35045 35115 36758 36006 36792 36091 35171 35046 35085 36793 Clanton city Jemison city Calera city Thorsby town Maplesville town
Choctaw County, Alabama 36913 36922 36919 36904 36908 36915 36912 36916 36910 36558 36921 Lisman town Needham town Butler town Cullomburg CDP Toxey town Pennington town Silas town Gilbertown town
Clarke County, Alabama 36446 36751 36727 36436 36545 36524 36482 36451 36784 36782 36540 Jackson city Grove Hill town Thomasville city Carlton CDP Fulton town Rockville CDP Whatley CDP Coffeeville town
Clay County, Alabama 36251 36267 36266 35089 36255 35072 36258 35160 36268 36276 35082 36256 Hollins CDP Ashland town Lineville city Millerville CDP Delta CDP
Cleburne County, Alabama 36261 36258 36272 36273 36207 36268 36262 36264 36269 Ranburne town Fruithurst town Edwardsville town Hollis Crossroads CDP Heflin city
Coffee County, Alabama 36351 36346 36360 36311 36330 36079 36477 36318 36034 36322 36316 36323 36453 36467 36009 36010 New Brockton town Elba city Enterprise city Kinston town
Colbert County, Alabama 35661 35672 35582 35654 35653 35616 35660 35646 35674 Cherokee town Sheffield city Littleville town Leighton town Muscle Shoals city Tuscumbia city
Conecuh County, Alabama 36426 36473 36401 36454 36460 36475 36432 36033 36474 36471 36442 36330 36456 36421 36502 Evergreen city Castleberry town Repton town McKenzie town
